slno,trans_date_trans_time,cc_num,category,AMT_TRANS,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
0,21-06-20 12:14,2.29E+15,personal_care,406597.5,Jeff,Elliott,M,351 Darlene Green,Columbia,SC,29209,33.9659,-80.9355,333497,Mechanical engineer,19-03-68,2da90c7d74bd46a0caf3777415b3ebd3,33.986391,-81.200714,0
1,21-06-20 12:14,3.57E+15,personal_care,1293502.5,Joanne,Williams,F,3638 Marsh Union,Altonah,UT,84002,40.3207,-110.436,302,"Sales professional, IT",17-01-90,324cc204407e99f51b0d6ca0055005e7,39.450498,-109.960431,1
2,21-06-20 12:14,3.60E+15,health_fitness,135000,Ashley,Lopez,F,9333 Valentine Point,Bellmore,NY,11710,40.6729,-73.5365,34496,"Librarian, public",21-10-70,c81755dbbbea9d5c77f094348a7579be,40.49581,-74.196111,1
3,21-06-20 12:15,3.59E+15,misc_pos,312682.5,Brian,Williams,M,32941 Krystal Mill Apt. 552,Titusville,FL,32780,28.5697,-80.8191,54767,Set designer,25-07-87,2159175b9efe66dc301f149d3d5abf8c,28.812398,-80.883061,0
4,21-06-20 12:15,3.53E+15,travel,513000,Nathan,Massey,M,5783 Evan Roads Apt. 465,Falmouth,MI,49632,44.2529,-85.017,1126,Furniture designer,6/7/1955,57ff021bd3f328f8738bb535c302a31b,44.959148,-85.884734,1
5,21-06-20 12:15,3.04E+13,kids_pets,490495.5,Danielle,Evans,F,76752 David Lodge Apt. 064,Breesport,NY,14816,42.1939,-76.7361,520,Psychotherapist,13-10-91,798db04aaceb4febd084f1a7c404da93,41.747157,-77.584197,0
6,21-06-20 12:15,2.13E+14,health_fitness,1560726,Kayla,Sutton,F,010 Weaver Land,Carlotta,CA,95528,40.507,-123.9743,1139,"Therapist, occupational",15-01-51,17003d7ce534440eadb10c4750e020e5,41.499458,-124.888729,1
7,21-06-20 12:15,3.59E+15,personal_care,1530000,Paula,Estrada,F,350 Stacy Glens,Spencer,SD,57374,43.7557,-97.5936,343,"Development worker, international aid",5/3/1972,8be473af4f05fc6146ea55ace73e7ca2,44.495498,-97.728453,0
8,21-06-20 12:16,3.60E+15,shopping_pos,1019610,David,Everett,M,4138 David Fall,Morrisdale,PA,16858,41.0001,-78.2357,3688,Advice worker,27-05-73,71a1da150d1ce510193d7622e08e784e,41.546067,-78.120238,1
9,21-06-20 12:16,3.55E+15,food_dining,405000,Kayla,Obrien,F,7921 Robert Port Suite 343,Prairie Hill,TX,76678,31.6591,-96.8094,263,Barrister,30-05-56,a7915132c7c4240996ba03a47f81e3bd,31.782919,-96.366185,0
10,21-06-20 12:16,2.24E+15,food_dining,652500,Samuel,Jenkins,M,43235 Mckenzie Views Apt. 837,Westport,KY,40077,38.4921,-85.4524,564,Pensions consultant,10/4/1996,3b8e4d02d9e1a3bf97cf449eb0317f2c,38.977546,-84.727994,1
11,21-06-20 12:16,5.71E+11,kids_pets,148365,Louis,Fisher,M,45654 Hess Rest,Fort Washakie,WY,82514,43.0048,-108.8964,1645,Freight forwarder,26-02-76,fa3071565d94fb286cb0ed398c6d61d3,42.687774,-108.670054,0
12,21-06-20 12:17,6.59E+15,home,80865,Melissa,Meza,F,244 Abbott Parkway,Loxahatchee,FL,33470,26.7383,-80.276,26551,Paramedic,4/1/1977,a21cb82e7d8fdbf4062f15c9422a4ca6,26.07846,-80.569932,0
13,21-06-20 12:18,4.99E+12,food_dining,918468,William,Thompson,M,977 Rita Grove Apt. 000,Rock Tavern,NY,12575,41.4575,-74.1659,2258,Building surveyor,17-03-37,d0d2b5cca5ae19e0a07dc7ef5d51e59e,40.71168,-73.668384,0
14,21-06-20 12:18,6.01E+15,kids_pets,773680.5,Ashley,Whitney,F,4038 Smith Avenue,Jones,AL,36749,32.5104,-86.8138,1089,Materials engineer,2/11/1971,61dca41a9728ea5fd6db99efd59768f8,32.721131,-87.253846,1
15,21-06-20 12:18,4.57E+15,entertainment,299772,Christine,Leblanc,F,5097 Jodi Vista Suite 811,Deltona,FL,32725,28.8989,-81.2473,88735,Commercial horticulturist,9/4/1988,ea11379e8aa1b08d584149d65770faee,29.83155,-80.926829,0
